outer_sim,inner_sim,date,dt,liab_cashflow,liab_pv_gaap,liab_pv_ifrs,meltdown_liabilities,next_2_liabs,bund_fwds,bund_yield,fee,cash,assets,net_asset_return,hgb_gap,hgb_payment,bund_comparator,performance_payment,additional_payment,funding_level_gaap,funding_level_ifrs,net_bt_return
10,13,2042-12-31,16.01095890410959,12269481.43,161555170.23444837,134564685.03822935,88515433.28318597,23796052.240000002,0.037840033192998446,0.03275451459854012,438477.14240022784,14113477.718288831,133451088.89434236,15.182726716889025,0.0,0.0,144032555.66392463,0.0,0.0,0.8260403470881096,0.9917244547217525,0.03375451459854012
10,13,2043-12-31,17.01095890410959,12018872.48,152783556.6761608,127793835.27472027,72134126.60164885,23261736.89,0.03847539357501906,0.033071368091762206,415001.68817158183,5243625.160040671,125900021.88902237,8.772141007478357,0.0,0.0,137131146.5781589,0.0,0.0,0.8240417007432244,0.9851807140647533,0.03407136809176221
10,13,2044-12-31,18.013698630136986,11777179.76,144085824.19263285,121014533.37446687,55434089.74613062,22669919.060000002,0.03911172111934014,0.033389089676746544,392265.7705191705,13400266.834435368,118585811.30920434,23.861233801119607,0.0,0.0,130244091.75456662,0.0,0.0,0.8230220562896129,0.9799303273950816,0.034389089676746545
10,13,2045-12-31,19.013698630136986,11484557.13,135497392.12890476,114249543.0460711,38489605.57846491,22023172.119999997,0.03974814567622409,0.03370594316996863,368076.49004463595,4673768.972626143,110839529.72816734,8.128481422759785,0.0,0.0,123418326.56264403,0.0,0.0,0.8180196532691988,0.9701529369222188,0.03470594316996863
10,13,2046-12-31,20.013698630136986,11185361.93,127035527.78069572,107519913.29486783,21321478.299979374,21338764.509999998,0.0401256740753817,0.034010585215605654,344695.5846364139,-275250.41151104256,103368470.69750156,23.509947602980237,0.0,0.0,116650527.474507,0.0,0.0,0.8136973372988134,0.9613890816115043,0.035010585215605655
10,13,2047-12-31,21.013698630136986,10837810.19,118751131.69908771,100875379.72336768,4016334.5116202636,20617505.18,0.04029205676506198,0.03429514031485277,321445.44208479667,52903.55119895196,95989225.06284744,-389.10853966175347,0.0,0.0,110005110.57590242,0.0,0.0,0.8083226129253374,0.9515624657481376,0.03529514031485277
10,13,2048-12-31,22.016438356164382,10500954.32,110643680.03764825,94319551.75339192,0.0,19821483.422,0.04086367208250108,0.03458047501711153,298532.4600440008,6706578.604523144,88711333.23462294,1874.342681278991,0.0,0.0,103469929.44501874,0.0,0.0,0.8017749699254175,0.9405402335516581,0.03558047501711153
10,13,2049-12-31,23.016438356164382,10116550.86,102751067.14640498,87881463.4117742,0.0,19000234.981,0.04143536551052507,0.03486503011635864,275982.3210214329,-1347065.0406948058,81601573.82612285,12.675844285827806,0.0,0.0,97081189.37828061,0.0,0.0,0.7941676528755925,0.9285413630832872,0.035865030116358644
10,13,2050-12-31,24.016438356164382,9704932.562,95111431.03404772,81603907.92283337,0.0,18140162.373999998,0.03927708406380104,0.03504105565693431,253766.58724954643,4702327.02321287,74630163.26726592,-63.60655074662655,0.0,0.0,90874241.51281984,16244078.245553926,0.0,0.7846602922055712,0.9145415356558415,0.03604105565693431
10,14,2027-12-31,0.9999999999999999,16724462.33,298344930.3521844,232344575.26205954,293348548.988457,31462151.29,0.02160482611960468,0.020672552238805972,763900.1440462612,1089377.3198901403,237145018.87470746,239.47130359375973,42709517.61374956,0.0,237620365.63033894,0.0,0.0,0.7948686059279343,1.0206608809662698,0.021672552238805973
10,14,2028-12-31,2.0027397260273974,16064885.95,288293371.3806211,225366432.8630154,281254696.7622815,30245020.58,0.022738216323019866,0.021362528767123287,734759.9899587878,163896.95685841283,228120350.7129705,223.1512028978129,39114067.061811,0.0,228793384.07946402,0.0,0.0,0.7912785147314165,1.0122197339460441,0.022362528767123288
10,14,2029-12-31,3.0027397260273974,15397265.34,278690802.8053716,218758458.40467298,269302861.6554335,29436432.689999998,0.027109638291723526,0.02279628433268859,706876.6290745789,-388017.1047686206,219521401.055785,1432.3314717900855,35214390.73163599,0.0,220482254.45262992,0.0,0.0,0.7876879999125463,1.0034876029785358,0.02379628433268859
10,14,2030-12-31,4.002739726027397,14847755.24,269444732.7017596,212442283.04245523,257397865.43856412,28871197.91,0.028095142183276467,0.0238538665377176,681900.1091431663,366891.05036019674,211770381.03191227,-585.041614369159,30492298.813786864,0.0,212577822.7275427,0.0,0.0,0.7859510887760224,0.9968372491534151,0.024853866537717602
10,14,2031-12-31,5.002739726027397,14588677.45,260271894.37906492,206138854.63111097,245213741.84858596,28388737.89,0.02879018786307408,0.02467493886462875,657017.4082705025,-5554721.1556251515,203760107.89856365,594.1324926955805,25728176.1190356,0.0,204787600.97357705,0.0,0.0,0.7828740340353598,0.9884604640071173,0.025674938864628752
10,14,2032-12-31,6.005479452054795,14282520.46,251235315.260689,199918200.49963617,232820110.60361394,28052617.369999997,0.032710509730723425,0.025821725274725274,630094.8485746994,-4362048.645822382,195119000.88299176,-38.69793576963538,21362359.034226984,0.0,197167633.9480995,0.0,0.0,0.7766384303119594,0.9759941835978403,0.026821725274725275
10,14,2033-12-31,7.005479452054794,14106217.43,242178927.66742876,193608792.88912195,220033570.93694106,27654273.14,0.03296072603554978,0.026711090410958902,605849.922190217,-6165436.748181289,187237906.71121547,-47.158156519883526,15819702.262560993,0.0,189539857.18525407,0.0,0.0,0.7731387223265732,0.9670940245903241,0.027711090410958903
10,14,2034-12-31,8.005479452054793,13946399.94,233100324.17354414,187213135.87179768,206840813.1552899,27170346.52,0.034270835081316786,0.027548071038251364,581756.8291170027,3766202.8769005043,179390786.2698839,-32.358230423321665,9812002.405677974,0.0,181893579.08461598,0.0,0.0,0.7695861724170179,0.9582168763666751,0.028548071038251365
10,14,2035-12-31,9.005479452054793,13707873.2,224077767.4894323,180806574.97079775,193336145.0369052,26739800.96,0.03522155138410188,0.028312642987249545,556798.7630111574,24291606.59679847,189660823.14181206,48.132453815037294,3675321.895093143,0.0,192622120.07042524,0.0,18325907.434437416,0.846406251127777,1.048970830692658,0.029312642987249546
10,14,2036-12-31,10.008219178082191,13462473.32,215131720.45132506,174415250.0829626,179537357.57461902,26413760.880000003,0.03641785146734189,0.029048498956158665,588985.7658545148,19320325.22123926,182277129.53231704,7.057910952588648,0.0,0.0,185711461.62570864,0.0,0.0,0.8472815126933289,1.045075642443048,0.030048498956158666
10,14,2037-12-31,11.008219178082191,13277327.64,206178540.39239672,167940117.1961982,165343033.92084315,26073787.36,0.037839876326007715,0.02977792745302714,562880.2672839308,15955072.82156527,173786547.85402635,8.682232227042581,0.0,0.0,178789554.24666083,0.0,0.0,0.8428934821406617,1.0348125912702442,0.03077792745302714
10,14,2038-12-31,12.008219178082191,13136433.24,197186295.81428385,161353348.52684987,150698280.3780995,25671183.04,0.03930493623948128,0.030507355949895617,539691.0719777808,19079519.70953539,166220899.68061578,10.241398577522755,0.0,0.0,171820814.24914894,0.0,0.0,0.8429637515842773,1.0301670290589349,0.031507355949895614
10,14,2039-12-31,13.008219178082191,12937354.12,188212386.24015102,154708774.99939704,135675783.25174612,25209673.32,0.0407705080566485,0.031236784446764095,516376.9864456165,18385429.006444376,158671931.0420932,7.994423747277446,0.0,0.0,164852287.09183544,0.0,0.0,0.8430472309066553,1.0256168794737828,0.032236784446764095
10,14,2040-12-31,14.010958904109588,12733828.92,179272094.61444262,148025437.94871,120284743.52148634,24745325.83,0.04223859937818841,0.031968211377870565,490930.7901737501,16971934.016109955,150418837.0144096,7.8740200665006,0.0,0.0,157904304.11429304,0.0,0.0,0.8390532689313013,1.016168836241031,0.032968211377870565
10,14,2041-12-31,15.01095890410959,12475844.4,170399619.31619292,141322585.62870967,104587074.84275974,24288353.91,0.0395089740200647,0.03243766110531803,467362.39726815076,10227270.918954546,142844258.9587821,8.151585388639296,0.0,0.0,150975867.15375966,0.0,0.0,0.8382897774772654,1.0107673753866226,0.03343766110531803
10,14,2042-12-31,16.01095890410959,12269481.43,161555170.23444837,134564685.03822935,88515433.28318597,23796052.240000002,0.037840033192998446,0.03275451459854012,443736.28299580683,15377053.477005767,135198876.61893982,13.419130892057602,0.0,0.0,144032555.66392463,0.0,0.0,0.836858866372024,1.0047129124593894,0.03375451459854012
10,14,2043-12-31,17.01095890410959,12018872.48,152783556.6761608,127793835.27472027,72134126.60164885,23261736.89,0.03847539357501906,0.033071368091762206,420304.75105246855,6550514.430505209,127662406.45310369,8.083748010760157,0.0,0.0,137131146.5781589,0.0,0.0,0.8355768724751985,0.9989715558553036,0.03407136809176221
10,14,2044-12-31,18.013698630136986,11777179.76,144085824.19263285,121014533.37446687,55434089.74613062,22669919.060000002,0.03911172111934014,0.033389089676746544,396740.47544635646,14753796.088652983,120072904.91333912,19.12820307048315,0.0,0.0,130244091.75456662,0.0,0.0,0.8333429439443667,0.9922188811965752,0.034389089676746545
10,14,2045-12-31,19.013698630136986,11484557.13,135497392.12890476,114249543.0460711,38489605.57846491,22023172.119999997,0.03974814567622409,0.03370594316996863,373363.9003086309,6075811.094553435,112596712.40590167,7.410125013950239,0.0,0.0,123418326.56264403,0.0,0.0,0.8309880407054872,0.9855331531654098,0.03470594316996863
10,14,2046-12-31,20.013698630136986,11185361.93,127035527.78069572,107519913.29486783,21321478.299979374,21338764.509999998,0.0401256740753817,0.034010585215605654,349224.0537323116,1178521.126544764,104873431.92703821,18.101777861572632,0.0,0.0,116650527.474507,0.0,0.0,0.8255441116290205,0.9753861281437999,0.035010585215605655
10,14,2047-12-31,21.013698630136986,10837810.19,118751131.69908771,100875379.72336768,4016334.5116202636,20617505.18,0.04029205676506198,0.03429514031485277,325912.648895445,1560783.3277788863,97473826.79291955,90.90470543406548,0.0,0.0,110005110.57590242,0.0,0.0,0.8208244030879276,0.9662796517864293,0.03529514031485277
10,14,2048-12-31,22.016438356164382,10500954.32,110643680.03764825,94319551.75339192,0.0,19821483.422,0.04086367208250108,0.03458047501711153,302884.9862353404,8271723.359641737,90157822.77221146,63.49247329894058,0.0,0.0,103469929.44501874,0.0,0.0,0.8148483740014237,0.9558762854168166,0.03558047501711153
